Date,/r/all,/r/politics,/r/the_donald,/r/space,/r/all moving average,/r/politics moving average,/r/the_donald moving average,/r/space moving average
2016/01/01,0.0005605266813142418,0,0,-0.013811317090395478,0.0005605266813142418,0.0,0.0,-0.013811317090395478
2016/01/08,0.0004977844539053264,0,0,0.020292625514403292,0.0005291555676097842,0.0,0.0,0.0032406542120039074
2016/01/15,0.00026787349238758244,0,0,0.00826671597633136,0.0004420615425357169,0.0,0.0,0.0049160081334463914
2016/01/22,0.0005208215328247845,0,0,0.02043715277777778,0.0004617515401079838,0.0,0.0,0.00879629429452924
2016/01/29,0.00015260978331151488,0.044840058479532166,0,-0.003214935064935062,0.00039992318874868996,0.008968011695906433,0.0,0.006394048422636379
2016/02/05,0.0003343842874647313,0,0,0,0.0003890000385346969,0.007473343079922028,0.0,0.0053283736855303165
2016/02/12,0.00021083026938277782,0,0,0,0.000363547214370137,0.006405722639933166,0.0,0.004567177444740271
2016/02/19,0.00015239679105734193,0.03505092592592593,0,0,0.0003371534114560376,0.009986373050682262,0.0,0.003996280264147737
2016/02/26,0.0006340842087174222,0,0,0,0.00037014572226285814,0.0088767760450509,0.0,0.0035522491236868775
2016/03/04,0.000739621941471043,0.013620674740484427,-0.0022973680198208517,-0.006197259816207183,0.00040709334418367665,0.009351165914594253,-0.00022973680198208518,0.0025772982296974715
2016/03/11,0.0010516700660725535,-0.007004248366013073,0,0,0.0004562076826595079,0.008650741077992945,-0.00022973680198208518,0.00395842993873702
2016/03/18,0.0011199718973623014,0.0188975,0,0,0.0005184264270052053,0.010540491077992944,-0.00022973680198208518,0.0019291673872966896
2016/03/25,0.0003852318264623524,0,-0.0017392592592592598,0,0.0005301622604126823,0.010540491077992944,-0.00040366272790801115,0.0011024957896635535
2016/04/01,0.0003675157573773177,0.033877864077669906,0,0,0.0005148316828679356,0.013928277485759935,-0.00040366272790801115,-0.0009412194881142245
2016/04/08,0.0004842895985484247,-0.009785686274509797,0,0.01036355400696864,0.0005479996643916265,0.008465703010355739,-0.00040366272790801115,0.0004166294190761457
2016/04/15,9.028677702906137e-05,0.02859012345679012,0,0.023222380952380956,0.0005235899133480596,0.011324715356034751,-0.00040366272790801115,0.0027388675143142412
2016/04/22,0.00016007903182039678,0,0,0.004636676554196018,0.0005185147895918215,0.011324715356034751,-0.00040366272790801115,0.003202535169733843
2016/04/29,0.00024508130706718024,0.023755522682445757,0.018642916666666662,0.010869221209610607,0.0005277832411928053,0.010195175031686734,0.001460628938758655,0.004289457290694904
2016/05/06,0.0001374793214165909,0.022364946236559144,0.019295889404852166,0.014987483812483812,0.0004781227524627221,0.012431669655342648,0.0033902178792438718,0.005788205671943285
2016/05/13,0.00021521502763792148,0.0064268256333830116,0,0.01251375804375804,0.00042568206107941,0.011712284744632507,0.0036199546812259566,0.0076593074579398065
2016/05/20,0.0005382615025380809,0,0,0,0.0003743412047259628,0.012412709581233814,0.0036199546812259566,0.0076593074579398065
2016/05/27,0.00021113242567379826,0.026641696688968947,0,0.005832498019017432,0.0002834572575571125,0.013187129250130708,0.0036199546812259566,0.00824255725984155
2016/06/03,-0.00018857195741944427,0.02236934460887949,0,0.030345831721470016,0.0002260768791689328,0.015424063711018657,0.0037938806071518825,0.01127714043198855
2016/06/10,0.00020780069315524092,0,0,0.005844573716037815,0.00021010537274672512,0.012036277303251667,0.0037938806071518825,0.011861597803592333
2016/06/17,0.00017217068660878025,0.01692919862470246,0,0.02754081081081081,0.00017889348155276068,0.014707765793172895,0.0037938806071518825,0.013579323483976552
2016/06/24,0.00035204332900404766,0,-0.0032794335850282134,0,0.00020506913675025928,0.01184875344749388,0.003465937248649061,0.011257085388738455
2016/07/01,0.0002055639039802721,0,0,0,0.00020961762396624683,0.01184875344749388,0.003465937248649061,0.010793417733318853
2016/07/08,0.0003339367408829765,0,0,0.057328250000000004,0.00021850316734782645,0.009473201179249305,0.001601645581982395,0.015439320612357792
2016/07/15,0.0005002802174640874,0.014155401234567898,0.0037295454545454546,0.03487931439629554,0.00025478325695257615,0.008652246679050183,4.501118695172412e-05,0.017428503670738966
2016/07/22,0.0003510530102739953,0.0380802564102564,0.03414784313725489,0.0052640548029556635,0.0002683670552161835,0.011817589756737518,0.003459795500677213,0.01670353334665873
2016/07/29,0.00027074406176570904,0.0017711792452830219,0,0.017355369989722504,0.00024161531113894635,0.01199470768126582,0.003459795500677213,0.018439070345630977
2016/08/05,0.0006591084377820386,0.025569270833333338,0,-0.007855879180151024,0.0002864129123497704,0.011887465095702262,0.003459795500677213,0.017070232625714134
2016/08/12,0.0004329229887787294,-0.01594510582010582,0,0.012272024983563447,0.00034856240696958776,0.00805602005280373,0.003459795500677213,0.015262851951923478
2016/08/19,0.0005079598793855365,0,0.03687361684558217,0.004745076818606229,0.0003785783255926173,0.00805602005280373,0.007147157185235431,0.015152902262180318
2016/08/26,-6.313962317274491e-05,0,-0.03761479797979798,-0.0021417389589905365,0.0003550472946144648,0.006363100190333483,0.003385677387255633,0.012184647285200183
2016/09/02,0.0006938009718994297,0,0,0.001736104441776711,0.00038922305890400305,0.006363100190333483,0.003713620745758455,0.012358257729377854
2016/09/09,0.0002604920550176949,0.004332531120331952,0,-0.00336403361344538,0.00039471587400774526,0.006796353302366678,0.003713620745758455,0.012021854368033316
2016/09/16,0.000275622143529021,0,0,0.029285301204819286,0.00038888441427234975,0.006796353302366678,0.003713620745758455,0.009217559488515246
2016/09/23,0.000238474535330984,0.006441724537037035,0.013491030927835051,0.0010551732838365998,0.00036270384605903937,0.006024985632613593,0.0046897692930874145,0.005835145377269349
2016/09/30,0.0002200107866825015,0.0016165124555160143,-0.022497553342816497,0.000965625916153621,0.00034959962369988994,0.0023786112371395537,-0.0009747703549197251,0.005405302488589146
